ThumbnailImage,thumbnail-image,Thumbnail Image
166,sg#f2,Closed stores Med G. O/S 2
167,sg#hi,Closed stores Hist. pam (RMR)
168,sg#i2,Closed stores Hist. 2 (RMR)
169,sg#if,Closed stores Hist. G. O/S (RMR)
170,sg#vo,Closed stores Pam. vol. (RMR)
171,sg#x2,Closed stores Hist. O/S 2
172,sgamc,Closed stores Americana
173,sgame,Closed stores Amer. Ethnog.
174,sgami,Closed stores Amerind
175,sgamp,Temp. store Hist.
176,sgams,Closed stores Amer. journals
177,sganr,Closed stores ann. rep.
178,sganx,Closed stores ann. rep. O/S
179,sgbsc,Closed stores booksellers cat.
180,sgcam,Closed stores Camden Soc.
181,sgcra,Closed stores Thai mss
182,sgdi2,OBSOLETE Closed stores diss. 2
183,sgdir,OBSOLETE Closed stores directories
184,sgdis,Closed stores diss.
185,sgdix,Closed stores diss. O/S
186,sgenc,Closed stores Hist. Encylop.
187,sgeph,Closed stores ephemera
188,sgero,Closed stores Erotica
189,sgeth,Unavailable
190,sggue,Closed stores Guerra Coll.
191,sghac,Closed stores Hackett
192,sghak,Closed stores Hakluyt Soc.
193,sghf2,Closed stores Hist. G. O/S 2
194,sghi2,Closed stores Hist. 2
195,sghif,Closed stores Hist. G. O/S
196,sghio,OBSOLETE Closed stores Hist. 2 (foa)
197,sghip,OBSOLETE Closed stores Hist. 2 (RMR)
198,sghx2,Closed stores Hist. O/S 2
199,sgleo,Temp store Hist folios
200,sglew,Closed stores Lewis
201,sgmc2,Closed stores Conferences 2
202,sgme1,Closed stores Med. 1
203,sgme2,OBSOLETE Closed stores Med. 2
204,sgmed,Closed stores Med.
205,sgmef,Closed stores Med. G. O/S
206,sgmex,Closed stores Med. O/S
207,sgmf2,Closed stores Med. G. O/S 2
208,sgmfc,By appointment
209,sgmfm,Closed stores Med. microfilm
210,sgmg2,Closed stores Garr. Mort 2
211,sgmoh,Closed stores MOH reports (RMR)
212,sgmon,Closed stores mons.
213,sgmox,Closed stores mons. O/S
214,sgmp1,OBSOLETE Closed stores Med. (RMR)
215,sgmp2,OBSOLETE Closed stores Med. O/S (RMR)
216,sgmp3,OBSOLETE Closed stores Med. G. O/S (RMR)
217,sgmp4,OBSOLETE Closed stores Med. G O/S 2 (RMR)
218,sgmx1,OBSOLETE Closed stores Med. O/S 1
219,sgmx2,OBSOLETE Closed stores Med. O/S 2
220,sgocc,Closed stores Occult
221,sgpa1,OBSOLETE Closed stores Med. pam. (RR)
222,sgpa2,Closed stores Med. pam 2
223,sgpam,Closed stores Med. pam.
224,sgpan,Closed stores pams.
225,sgpax,Closed stores Med. pam O/S
226,sgpbi,Closed stores Biog. pam
227,sgpbx,Closed stores Biog. pam O/S
228,sgphi,Closed stores Hist. pam
229,sgphx,Closed stores Hist. pam O/S
230,sgptb,Closed stores bound patents
231,sgptu,Closed stores unbound patents
232,sgpvo,Closed stores Pam. vol.
233,sgpvx,Closed stores Pam vol. O/S
234,sgpx2,OBSOLETE Closed stores Med. pam O/S 2
235,sgpxn,Closed stores pams. O/S
236,sgram,Closed stores RAMC
237,sgras,Closed stores RAMC journals
238,sgrax,Closed stores RAMC O/S
239,sgrcs,Closed stores RCSE journals
240,sgse2,Closed stores journals 2
241,sgsee,Closed stores Hist. journals
242,sgsen,Closed stores journals
243,sgser,Closed stores journals
244,sgsex,Closed stores journals O/S
245,sgshe,Closed stores Shepherd
246,sgsx2,OBSOLETE Closed stores journals O/S 2
247,sgsxn,Closed stores journals O/S
248,sgwel,Closed stores Wellcome Coll.
249,sicon,Closed stores Iconographic
250,smfac,"Closed stores Film, Video & Sound"
251,sobab,Closed stores P.B. Arabic
252,sobah,Closed stores P.B. Amharic
253,sobak,Closed stores P.B. Akkadian
254,sobam,Closed stores P.B. Aramaic
255,sobar,Closed stores P.B. Armenian
256,sobas,Closed stores P.B. Assyrian
